timestamp,test,metric,value,unit,product_name,official,owner,run_uri,sample_uri,baseline,blocksize,bw_agg,bw_dev,bw_max,bw_mean,bw_min,cloud,data_disk_0_durability,data_disk_0_num_stripes,data_disk_0_replication,data_disk_0_size,data_disk_0_type,direct,filename,fio_job,group_reporting,image,index,iodepth,ioengine,ip_type,machine_type,max,mean,min,num_cpus,num_parallel_copies,num_striped_disks,numjobs,overwrite,p1,p10,p20,p30,p40,p5,p50,p60,p70,p80,p90,p95,p99,p99.5,p99.9,p99.95,p99.99,perfkitbenchmarker_version,randrepeat,receiving_machine_type,receiving_zone,runtime,runtime_in_seconds,rw,samples,scratch_disk_size,scratch_disk_type,sending_machine_type,sending_thread_count,sending_zone,size,stddev,time,vm_1_cloud,vm_1_image,vm_1_machine_type,vm_1_vm_count,vm_1_zone,vm_2_cloud,vm_2_image,vm_2_machine_type,vm_2_vm_count,vm_2_zone,vm_count,zone
1469828774.934959,ping,Average Latency,1.069,ms,PerfKitBenchmarker,False,root,617afe83-be492b30-3be7-43a3-b8de-47d91983c11d,b5907ae5-2f32-4d47-8dd3-1ccff89ddd6f,,,,,,,,,,,,,,,,,,,,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,IAD,,,,,,,,,IAD,,,,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,,
1469828774.934962,ping,Max Latency,60.374,ms,PerfKitBenchmarker,False,root,617afe83-be492b30-3be7-43a3-b8de-47d91983c11d,15215e51-8001-4dac-8a01-02b85e7220e7,,,,,,,,,,,,,,,,,,,,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,IAD,,,,,,,,,IAD,,,,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,,
1469828774.934966,ping,Latency Std Dev,5.967,ms,PerfKitBenchmarker,False,root,617afe83-be492b30-3be7-43a3-b8de-47d91983c11d,649732d9-6091-410c-b629-35d56ecda1c9,,,,,,,,,,,,,,,,,,,,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,IAD,,,,,,,,,IAD,,,,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,,
1469828789.430941,ping,End to End Runtime,253.78078389167786,seconds,PerfKitBenchmarker,False,root,617afe83-be492b30-3be7-43a3-b8de-47d91983c11d,fdc296b8-75a8-4ef0-854e-c44ab2d1baa8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,,,,,,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,,
1469828959.507991,fio,random_write_rest:read:bandwidth,54707,KB/s,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,25653c72-e9f3-421d-9c6d-d151164f9be9,,4k,6.25,132.61,3808,3421.5,2968,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:latency,1148.75,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,58b36207-cf40-4396-be5f-4bd5dcb20967,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,11456,1148.75,227,,,1,16,1,732,876,940,988,1032,828,1080,1128,1192,1288,1432,1720,2544,2896,3952,4640,7584,unknown,0,,,60,,randwrite,,500,boot,,,,1G,348.54,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:latency:min,227,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,3aaf0326-cb88-411e-b163-1ea8f0454c3d,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:latency:max,11456,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,fa347e5c-bf92-4b6f-900f-3339efe11c80,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:latency:mean,1148.75,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,9ee8ebd0-3df8-4ddb-8145-93e12f60a2f5,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:latency:stddev,348.54,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,f98c7861-a37c-4121-93e4-da3ec2351a78,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
