timestamp,test,metric,value,unit,product_name,official,owner,run_uri,sample_uri,baseline,blocksize,bw_agg,bw_dev,bw_max,bw_mean,bw_min,cloud,data_disk_0_legacy_disk_type,data_disk_0_media,data_disk_0_num_stripes,data_disk_0_replication,data_disk_0_size,data_disk_0_type,direct,filename,fio_job,group_reporting,image,index,iodepth,ioengine,ip_type,machine_type,max,mean,min,num_cpus,num_parallel_copies,num_striped_disks,numjobs,overwrite,p1,p10,p20,p30,p40,p5,p50,p60,p70,p80,p90,p95,p99,p99.5,p99.9,p99.95,p99.99,perfkitbenchmarker_version,randrepeat,receiving_machine_type,receiving_zone,runtime,runtime_in_seconds,rw,samples,scratch_disk_size,scratch_disk_type,sending_machine_type,sending_thread_count,sending_zone,size,stddev,time,vm_1_cloud,vm_1_image,vm_1_machine_type,vm_1_vm_count,vm_1_zone,vm_2_cloud,vm_2_image,vm_2_machine_type,vm_2_vm_count,vm_2_zone,vm_count,zone
1469813583.410405,ping,Average Latency,0.841,ms,PerfKitBenchmarker,False,root,b07719ea-c7bbe2c1-384d-495e-8d71-e0ab8b4c3e3c,22bc7b93-8de3-42c4-a7fa-3d256babba9f,,,,,,,,,,,,,,,,,,,,,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,us-east-1b,,,,,,,,,us-east-1b,,,,AWS,ami-cbdd50dc,t2.micro,1,us-east-1b,AWS,ami-cbdd50dc,t2.micro,1,us-east-1b,,
1469813583.41041,ping,Max Latency,2.813,ms,PerfKitBenchmarker,False,root,b07719ea-c7bbe2c1-384d-495e-8d71-e0ab8b4c3e3c,31427da3-177b-4280-93fb-1b238cd8f743,,,,,,,,,,,,,,,,,,,,,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,us-east-1b,,,,,,,,,us-east-1b,,,,AWS,ami-cbdd50dc,t2.micro,1,us-east-1b,AWS,ami-cbdd50dc,t2.micro,1,us-east-1b,,
1469813583.410413,ping,Latency Std Dev,0.264,ms,PerfKitBenchmarker,False,root,b07719ea-c7bbe2c1-384d-495e-8d71-e0ab8b4c3e3c,93067599-8722-417f-9386-c7ae6bcd6fff,,,,,,,,,,,,,,,,,,,,,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,us-east-1b,,,,,,,,,us-east-1b,,,,AWS,ami-cbdd50dc,t2.micro,1,us-east-1b,AWS,ami-cbdd50dc,t2.micro,1,us-east-1b,,
1469813753.600217,ping,End to End Runtime,631.4395849704742,seconds,PerfKitBenchmarker,False,root,b07719ea-c7bbe2c1-384d-495e-8d71-e0ab8b4c3e3c,c230741c-72f0-41cb-b986-8b778634f431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,,,,,,AWS,ami-cbdd50dc,t2.micro,1,us-east-1b,AWS,ami-cbdd50dc,t2.micro,1,us-east-1b,,
1469814524.687555,fio,random_write_rest:read:bandwidth,5557,KB/s,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,a45853bf-1196-405b-a817-f57e436d9d9a,,4k,6.26,88.25,557,348.12,27,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:read:latency,11506.83,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,19bbd80f-b266-4ff9-8844-a170d649c6e0,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,250433,11506.83,864,,,1,16,1,3504,4384,5216,6112,7072,3952,8160,9536,11328,14272,19840,25472,74240,129536,148480,168960,214016,unknown,0,,,60,,randwrite,,500,standard,,,,1G,14042.7,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:read:latency:min,864,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,92728e8d-1f58-4724-b9eb-3925935aebec,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:read:latency:max,250433,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,9de58147-cc66-4602-a769-1e0ebcd8ada9,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:read:latency:mean,11506.83,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,80d596c1-a64c-4830-ac0f-05c69c95d496,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:read:latency:stddev,14042.7,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,f1e284dd-5ee0-457c-9cbd-7bb7687b8849,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
