timestamp,test,metric,value,unit,product_name,official,owner,run_uri,sample_uri,baseline,cloud,data_disk_0_legacy_disk_type,data_disk_0_media,data_disk_0_num_stripes,data_disk_0_replication,data_disk_0_size,data_disk_0_type,image,index,ip_type,machine_type,num_cpus,num_parallel_copies,num_striped_disks,perfkitbenchmarker_version,receiving_machine_type,receiving_zone,runtime_in_seconds,samples,scratch_disk_size,scratch_disk_type,sending_machine_type,sending_thread_count,sending_zone,time,vm_1_cloud,vm_1_image,vm_1_machine_type,vm_1_vm_count,vm_1_zone,vm_2_cloud,vm_2_image,vm_2_machine_type,vm_2_vm_count,vm_2_zone,vm_count,zone
1469836532.454743,ping,Average Latency,0.729,ms,PerfKitBenchmarker,False,root,e299195c-a48c0e5b-686f-4bed-a93a-10643abe3bf5,a317ba28-094c-4572-98b1-d13e8cfc2909,,,,,,,,,,,internal,,,,,unknown,,East US,,,,,,,East US,,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,,
1469836532.454747,ping,Max Latency,1.783,ms,PerfKitBenchmarker,False,root,e299195c-a48c0e5b-686f-4bed-a93a-10643abe3bf5,4bd5b846-f2dd-445d-b6bf-4d74d5904998,,,,,,,,,,,internal,,,,,unknown,,East US,,,,,,,East US,,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,,
1469836532.454749,ping,Latency Std Dev,0.274,ms,PerfKitBenchmarker,False,root,e299195c-a48c0e5b-686f-4bed-a93a-10643abe3bf5,f7907bc8-427a-4cbf-bc18-303a34f3ddda,,,,,,,,,,,internal,,,,,unknown,,East US,,,,,,,East US,,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,,
1469836747.207076,ping,End to End Runtime,739.3410158157349,seconds,PerfKitBenchmarker,False,root,e299195c-a48c0e5b-686f-4bed-a93a-10643abe3bf5,385611d8-b4b2-4701-a900-b3ae385ba3a3,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,,
1469838001.835372,coremark,Coremark Score,5870.784043,,PerfKitBenchmarker,False,root,e299195c-b06ae10f-4ce6-4076-b7b5-e317076b7766,c7cde56b-8aa8-437a-8d69-cfd12f10762c,,Azure,,,,,,,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,,,Small,1,,,unknown,,,,,,,,,,,,,,,,,,,,,1,East US
1469838178.723613,coremark,End to End Runtime,660.6810700893402,seconds,PerfKitBenchmarker,False,root,e299195c-b06ae10f-4ce6-4076-b7b5-e317076b7766,54a7573d-89e6-48b9-8572-ec340c1a8b7f,,Azure,,,,,,,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,,,Small,,,,unknown,,,,,,,,,,,,,,,,,,,,,1,East US
1469839093.769633,unixbench,Dhrystone 2 using register variables,13423329.5,lps,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,46f68dc6-e9f9-4d66-941c-7eb06eba3940,,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,,,Small,,1,1,unknown,,,,1,500,standard,,,,10.0s,,,,,,,,,,,1,East US
1469839093.769661,unixbench,Double-Precision Whetstone,1758.4,MWIPS,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,4c3c6087-32bb-4b47-ac61-292e59e05cd0,,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,,,Small,,1,1,unknown,,,,1,500,standard,,,,9.9s,,,,,,,,,,,1,East US
1469839093.769668,unixbench,Execl Throughput,2476.6,lps,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,5ed8f85d-9e4d-4a9f-874d-97b3644cacb4,,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,,,Small,,1,1,unknown,,,,1,500,standard,,,,29.9s,,,,,,,,,,,1,East US
1469839093.769674,unixbench,File Copy 1024 bufsize 2000 maxblocks,580961.0,KBps,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,bd4ad467-7fe0-47b4-bd59-be6610bebc26,,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,,,Small,,1,1,unknown,,,,1,500,standard,,,,30.0s,,,,,,,,,,,1,East US
